iter	Logloss
0	0.6614376221
1	0.6350470581
2	0.603243042
3	0.5810739136
4	0.5550563965
5	0.5343457031
6	0.5164619141
7	0.5020106812
8	0.4872462158
9	0.4756416321
10	0.4680730591
11	0.4564433594
12	0.4463952332
13	0.4377347107
14	0.4312321167
15	0.4248109131
16	0.4211514893
17	0.4147874756
18	0.4083444824
19	0.4037963257
20	0.3986996765
21	0.394230957
22	0.3917156067
23	0.3885950623
24	0.3860969849
25	0.3829579468
26	0.3807367859
27	0.3779108276
28	0.3740844727
29	0.3715198975
30	0.3695264282
31	0.3669810181
32	0.3649914551
33	0.362670166
34	0.3604034119
35	0.3591557617
36	0.3574920044
37	0.3558220825
38	0.3533601685
39	0.3517542725
40	0.3503509521
41	0.3487633362
42	0.3475554199
43	0.3453591614
44	0.3441497803
45	0.3430827942
46	0.3422219849
47	0.3413565674
48	0.3402077942
49	0.3392511597
50	0.3385413818
51	0.3375673828
52	0.3369164429
53	0.3361788635
54	0.3354281921
55	0.3335689697
56	0.3330952148
57	0.3322648315
58	0.3313507996
59	0.3303300781
60	0.3295035095
61	0.3288082275
62	0.3283053589
63	0.327532135
64	0.3252874451
65	0.3247572632
66	0.3243326416
67	0.3238120117
68	0.3231903687
69	0.3225309753
70	0.3221552734
71	0.3203070679
72	0.3199208374
73	0.3193863525
74	0.3185878296
75	0.3181112976
76	0.3159989319
77	0.3154318237
78	0.3135989685
79	0.3132173157
80	0.3115405884
81	0.3111590576
82	0.3109265442
83	0.3093781738
84	0.3089030457
85	0.3073153687
86	0.305440979
87	0.3050029297
88	0.3035278931
89	0.3031529541
90	0.3027584839
91	0.3013174438
92	0.300863678
93	0.3003893433
94	0.2998887024
95	0.2983988037
96	0.2979120178
97	0.2976326904
98	0.2971828613
99	0.2967211609
100	0.2962532959
101	0.2956944885
102	0.2951774902
103	0.2938061523
104	0.2933232117
105	0.2926774597
106	0.2912627563
107	0.2908122559
108	0.2904940186
109	0.2901367798
110	0.2892301636
111	0.288421051
112	0.2878864746
113	0.2876260376
114	0.2872273254
115	0.2866578369
116	0.2862366943
117	0.2852640991
118	0.2848262329
119	0.2843946533
120	0.2835441284
121	0.2830344238
122	0.2819613647
123	0.2809138489
124	0.2801534424
125	0.2792600708
126	0.2787537231
127	0.2783461609
128	0.2781008911
129	0.2777931213
130	0.2770865479
131	0.2765983582
132	0.2762365112
133	0.2759507446
134	0.2754709167
135	0.2747577209
136	0.2737803955
137	0.2731898499
138	0.2727704468
139	0.2718089905
140	0.2714684448
141	0.2712316589
142	0.2708840332
143	0.2704695129
144	0.2698926697
145	0.2693901367
146	0.2688528442
147	0.2678692017
148	0.2668938599
149	0.2665058594
150	0.2662157288
151	0.265565918
152	0.2652184753
153	0.26486026
154	0.2643652344
155	0.2638101196
156	0.2634462891
157	0.2629819031
158	0.2625210571
159	0.2616299133
160	0.2611803589
161	0.2608648987
162	0.2603781128
163	0.260026001
164	0.2597468262
165	0.2593919067
166	0.2588354797
167	0.258424408
168	0.258121582
169	0.2577355957
170	0.2572428284
171	0.2570243225
172	0.2567873535
173	0.2565629272
174	0.2560671082
175	0.2556871643
176	0.2549684448
177	0.2544960327
178	0.2541550598
179	0.2533736115
180	0.2529673767
181	0.2527211609
182	0.2522163086
183	0.2513466797
184	0.2510163574
185	0.2507599792
186	0.25029039
187	0.2499889526
188	0.2495602112
189	0.2491479187
190	0.2487808533
191	0.2481569214
192	0.247412262
193	0.2470126953
194	0.2465883484
195	0.2462286377
196	0.24559729
197	0.2450349426
198	0.2447255554
199	0.2439190674
200	0.2434841614
201	0.2431154327
202	0.2424403992
203	0.2419313049
204	0.241397522
205	0.2409894104
206	0.2406256104
207	0.2402789001
208	0.2396956787
209	0.2390122986
210	0.2384846191
211	0.2380953979
212	0.2375412598
213	0.2371143494
214	0.2367210541
215	0.2361748962
216	0.2357381897
217	0.2354154053
218	0.2349801941
219	0.2346331177
220	0.2340396118
221	0.233721817
222	0.2333082733
223	0.2326551208
224	0.2323748322
225	0.2320886841
226	0.2316503296
227	0.2313074036
228	0.230872406
229	0.2305829773
230	0.2303224182
231	0.2298750916
232	0.2291993256
233	0.2289677429
234	0.228593399
235	0.2281808319
236	0.2276376038
237	0.2269674072
238	0.2264965515
239	0.2260773468
240	0.2255879822
241	0.2251259613
242	0.2246181641
243	0.2242613678
244	0.22358284
245	0.222998291
246	0.222533783
247	0.2221477509
248	0.2215921936
249	0.2212234192
250	0.2209119263
251	0.2206836548
252	0.2201217651
253	0.219632843
254	0.2192576752
255	0.2186922607
256	0.2184048462
257	0.2179885864
258	0.21760495
259	0.2171640015
260	0.216942276
261	0.216683136
262	0.2163274841
263	0.2158521881
264	0.2155179443
265	0.2148632965
266	0.2143247986
267	0.213685257
268	0.2132033997
269	0.2127984467
270	0.2121047516
271	0.2116033325
272	0.2112228088
273	0.2107822266
274	0.2101652527
275	0.2098190918
276	0.2095970306
277	0.2092712402
278	0.2088256531
279	0.2085069733
280	0.2082163696
281	0.2077025757
282	0.2075302887
283	0.2072361145
284	0.2065915222
285	0.2062662811
286	0.2059472351
287	0.2053952484
288	0.204832962
289	0.2044248352
290	0.2039171753
291	0.2034859924
292	0.2031665344
293	0.2027396393
294	0.2024540863
295	0.2022731018
296	0.201931366
297	0.2014283295
298	0.201088501
299	0.2007424774
300	0.2004696655
301	0.2000827637
302	0.1997899933
303	0.1993964233
304	0.1989884491
305	0.1986264496
306	0.1982594299
307	0.197948761
308	0.197453949
309	0.1967743225
310	0.1964879608
311	0.196256897
312	0.1957061768
313	0.1954061279
314	0.1950593262
315	0.1948045959
316	0.1944097595
317	0.1941539612
318	0.1938889313
319	0.1935504913
320	0.1932723389
321	0.192964447
322	0.1926995697
323	0.1923205261
324	0.1919810181
325	0.1915537415
326	0.1911747437
327	0.190769928
328	0.1903170471
329	0.1897438965
330	0.189496109
331	0.1891515808
332	0.1888338776
333	0.1884028473
334	0.1880756378
335	0.1877884216
336	0.187431488
337	0.1871751251
338	0.187013504
339	0.1865700684
340	0.1862646484
341	0.1859256439
342	0.1854668274
343	0.1852383423
344	0.1848941956
345	0.1846286621
346	0.1843439941
347	0.1838334656
348	0.1835652771
349	0.1833059387
350	0.1830234985
351	0.1828299866
352	0.1825639038
353	0.1823388062
354	0.1820201721
355	0.1817128601
356	0.1813173523
357	0.1808902283
358	0.1805816345
359	0.1803327789
360	0.1800187988
361	0.1796293945
362	0.1793632813
363	0.1790585022
364	0.1788450012
365	0.1783856354
366	0.1780695496
367	0.1776664124
368	0.1773395081
369	0.177024765
370	0.1767085571
371	0.1764369659
372	0.1760691223
373	0.1757329407
374	0.175411377
375	0.1750857239
376	0.1749397278
377	0.1746909485
378	0.174385498
379	0.1741626587
380	0.1738663483
381	0.1735327148
382	0.1732167206
383	0.1729921112
384	0.1727489319
385	0.1723523407
386	0.1721144867
387	0.1717245178
388	0.171434021
389	0.1710787048
390	0.1707811584
391	0.1704929657
392	0.1700954437
393	0.1698184662
394	0.1696315002
395	0.1694624939
396	0.1690823059
397	0.1687255859
398	0.1684482422
399	0.1681954041
