iter	Passed	Remaining
0	48	19543
1	50	10080
2	52	6914
3	53	5332
4	55	4379
5	57	3749
6	58	3293
7	60	2956
8	61	2689
9	63	2476
10	65	2301
11	66	2155
12	68	2036
13	69	1928
14	71	1835
15	73	1757
16	74	1687
17	76	1624
18	78	1567
19	79	1515
20	81	1466
21	82	1422
22	84	1384
23	86	1350
24	87	1317
25	89	1285
26	90	1256
27	92	1229
28	94	1205
29	95	1182
30	97	1159
31	99	1138
32	100	1118
33	102	1099
34	103	1082
35	105	1064
36	106	1049
37	108	1033
38	110	1018
39	111	1005
40	113	992
41	114	979
42	116	967
43	117	954
44	119	943
45	121	933
46	122	923
47	124	913
48	126	903
49	127	893
50	129	884
51	130	876
52	132	867
53	134	859
54	135	851
55	137	842
56	138	835
57	140	828
58	142	821
59	143	815
60	145	808
61	147	802
62	148	795
63	150	789
64	152	783
65	153	777
66	155	771
67	156	765
68	158	762
69	160	758
70	162	754
71	164	749
72	166	744
73	167	738
74	169	735
75	171	730
76	172	725
77	174	720
78	176	715
79	177	710
80	179	707
81	181	704
82	184	703
83	186	700
84	188	697
85	190	694
86	192	692
87	194	689
88	196	685
89	198	682
90	200	679
91	202	677
92	204	674
93	206	671
94	208	668
95	210	665
96	212	662
97	214	659
98	216	656
99	218	654
100	219	651
101	221	648
102	223	645
103	225	642
104	227	639
105	230	638
106	232	635
107	235	638
108	238	635
109	240	633
110	242	630
111	244	627
112	245	624
113	247	621
114	249	619
115	251	616
116	253	613
117	255	611
118	257	608
119	259	606
120	261	603
121	263	600
122	265	598
123	267	595
124	269	592
125	271	590
126	273	587
127	275	585
128	277	582
129	279	580
130	281	578
131	283	575
132	285	573
133	287	570
134	289	567
135	290	564
136	292	561
137	293	558
138	295	554
139	297	551
140	298	548
141	300	545
142	301	542
143	303	539
144	304	536
145	306	533
146	308	530
147	309	527
148	311	524
149	312	521
150	314	518
151	315	515
152	317	512
153	319	509
154	320	506
155	322	503
156	323	501
157	325	498
158	326	495
159	328	492
160	330	490
161	331	487
162	333	484
163	334	481
164	336	478
165	338	476
166	339	473
167	341	471
168	342	468
169	344	466
170	346	463
171	347	460
172	349	458
173	350	455
174	352	453
175	354	450
176	355	447
177	357	445
178	358	442
179	360	440
180	362	438
181	363	435
182	365	433
183	366	430
184	368	428
185	369	425
186	371	423
187	373	420
188	374	418
189	376	415
190	377	413
191	379	411
192	381	408
193	382	406
194	384	404
195	385	401
196	387	399
197	389	396
198	390	394
199	392	392
200	393	390
201	395	387
202	397	385
203	398	383
204	400	380
205	401	378
206	403	376
207	405	373
208	406	371
209	408	369
210	409	367
211	411	364
212	412	362
213	414	360
214	415	357
215	417	355
216	419	353
217	420	351
218	422	349
219	423	346
220	425	344
221	427	342
222	428	340
223	430	338
224	431	335
225	433	333
226	435	331
227	436	329
228	438	327
229	439	325
230	441	323
231	443	320
232	444	318
233	446	316
234	447	314
235	449	312
236	451	310
237	452	308
238	454	306
239	455	303
240	457	301
241	459	299
242	460	297
243	462	295
244	463	293
245	465	291
246	467	289
247	468	287
248	470	285
249	471	283
250	473	281
251	475	279
252	477	277
253	478	275
254	480	273
255	482	271
256	483	269
257	485	267
258	487	265
259	488	263
260	490	261
261	492	259
262	493	257
263	495	255
264	497	253
265	498	251
266	500	249
267	502	247
268	503	245
269	505	243
270	507	241
271	509	239
272	510	237
273	512	235
274	513	233
275	515	231
276	517	229
277	518	227
278	520	225
279	521	223
280	523	221
281	524	219
282	526	217
283	528	215
284	529	213
285	531	211
286	532	209
287	534	207
288	536	205
289	537	203
290	539	201
291	540	200
292	542	198
293	544	196
294	545	194
295	547	192
296	548	190
297	550	188
298	552	186
299	553	184
300	555	182
301	556	180
302	558	178
303	560	176
304	561	175
305	563	173
306	565	171
307	566	169
308	568	167
309	569	165
310	571	163
311	573	161
312	575	159
313	576	157
314	578	156
315	580	154
316	582	152
317	583	150
318	585	148
319	587	146
320	588	144
321	590	143
322	592	141
323	594	139
324	595	137
325	597	135
326	599	133
327	600	131
328	602	129
329	603	128
330	605	126
331	607	124
332	608	122
333	610	120
334	611	118
335	613	116
336	615	115
337	617	113
338	619	111
339	621	109
340	623	107
341	625	106
342	626	104
343	628	102
344	630	100
345	632	98
346	634	96
347	636	95
348	638	93
349	640	91
350	642	89
351	643	87
352	645	85
353	647	84
354	649	82
355	651	80
356	653	78
357	654	76
358	656	74
359	658	73
360	659	71
361	661	69
362	662	67
363	664	65
364	666	63
365	667	62
366	669	60
367	670	58
368	672	56
369	674	54
370	676	52
371	677	50
372	679	49
373	681	47
374	683	45
375	685	43
376	686	41
377	688	40
378	690	38
379	691	36
380	693	34
381	695	32
382	698	30
383	700	29
384	701	27
385	703	25
386	704	23
387	706	21
388	708	20
389	709	18
390	711	16
391	712	14
392	714	12
393	715	10
394	717	9
395	719	7
396	720	5
397	722	3
398	723	1
399	725	0
